value,cash,date,strategy_name,position
10000000.0,10000000.0,2021-02-22,bulin_strategy,{}
10000000.0,10000000.0,2021-02-23,bulin_strategy,{}
10000000.0,10000000.0,2021-02-24,bulin_strategy,{}
10000000.0,10000000.0,2021-02-25,bulin_strategy,{}
10000000.0,10000000.0,2021-02-26,bulin_strategy,{}
10000000.0,10000000.0,2021-03-01,bulin_strategy,{}
10000000.0,10000000.0,2021-03-02,bulin_strategy,{}
10000000.0,10000000.0,2021-03-03,bulin_strategy,{}
10000000.0,10000000.0,2021-03-04,bulin_strategy,{}
10000000.0,10000000.0,2021-03-05,bulin_strategy,{}
10000000.0,10000000.0,2021-03-08,bulin_strategy,{}
10000000.0,10000000.0,2021-03-09,bulin_strategy,{}
10000000.0,10000000.0,2021-03-10,bulin_strategy,{}
10000000.0,10000000.0,2021-03-11,bulin_strategy,{}
10000000.0,10000000.0,2021-03-12,bulin_strategy,{}
10000000.0,10000000.0,2021-03-15,bulin_strategy,{}
10000000.0,10000000.0,2021-03-16,bulin_strategy,{}
10000000.0,10000000.0,2021-03-17,bulin_strategy,{}
10000000.0,10000000.0,2021-03-18,bulin_strategy,{}
10000000.0,10000000.0,2021-03-19,bulin_strategy,{}
10000000.0,10000000.0,2021-03-19,bulin_strategy,{}
10000000.0,10000000.0,2021-03-22,bulin_strategy,{}
10000000.0,10000000.0,2021-03-23,bulin_strategy,{}
10000000.0,10000000.0,2021-03-24,bulin_strategy,{}
10000000.0,10000000.0,2021-03-25,bulin_strategy,{}
10000000.0,10000000.0,2021-03-26,bulin_strategy,{}
10000000.0,10000000.0,2021-03-29,bulin_strategy,{}
10000000.0,10000000.0,2021-03-30,bulin_strategy,{}
10000000.0,10000000.0,2021-03-31,bulin_strategy,{}
10000000.0,10000000.0,2021-04-01,bulin_strategy,{}
10000000.0,10000000.0,2021-04-05,bulin_strategy,{}
10000000.0,10000000.0,2021-04-06,bulin_strategy,{}
10000000.0,10000000.0,2021-04-07,bulin_strategy,{}
10000000.0,10000000.0,2021-04-08,bulin_strategy,{}
10000000.0,10000000.0,2021-04-09,bulin_strategy,{}
10000000.0,10000000.0,2021-04-12,bulin_strategy,{}
10000000.0,10000000.0,2021-04-13,bulin_strategy,{}
10000000.0,10000000.0,2021-04-14,bulin_strategy,{}
10000000.0,10000000.0,2021-04-15,bulin_strategy,{}
10000000.0,10000000.0,2021-04-16,bulin_strategy,{}
10000000.0,10000000.0,2021-04-16,true_empty_strategy,{}
10000000.0,10000000.0,2021-04-19,true_empty_strategy,{}
10000000.0,10000000.0,2021-04-20,true_empty_strategy,{}
10000000.0,10000000.0,2021-04-21,true_empty_strategy,{}
10000000.0,10000000.0,2021-04-22,true_empty_strategy,{}
10000000.0,10000000.0,2021-04-23,true_empty_strategy,{}
10000000.0,10000000.0,2021-04-26,true_empty_strategy,{}
10000000.0,10000000.0,2021-04-27,true_empty_strategy,{}
10000000.0,10000000.0,2021-04-28,true_empty_strategy,{}
10000000.0,10000000.0,2021-04-29,true_empty_strategy,{}
10000000.0,10000000.0,2021-04-30,true_empty_strategy,{}
10000000.0,10000000.0,2021-05-03,true_empty_strategy,{}
10000000.0,10000000.0,2021-05-04,true_empty_strategy,{}
10000000.0,10000000.0,2021-05-05,true_empty_strategy,{}
10000000.0,10000000.0,2021-05-06,true_empty_strategy,{}
10000000.0,10000000.0,2021-05-07,true_empty_strategy,{}
